states,actions,states full,actions_num
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(7166.666666666667), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(20.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(7028.143433333334), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(40.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(7207.395507505552), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(60.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(6533.41494739443), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(80.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(4674.297108641832), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(100.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(3952.789673782332), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(120.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(3985.540687590321), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 0]",15
1185,"['nothing', 'nothing', 'NPR20', 'nothing', 'nothing']","[np.float64(4015.488964189446), np.float64(0.0), np.float64(0.0), 8800, 8800, 8800, 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",15
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3830.2101976534414), np.float64(0.0), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3675.3784011248135), np.float64(0.0), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3565.76970360594), np.float64(0.25166), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3629.934125275826), np.float64(0.25531), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3693.0857856413977), np.float64(0.13271), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(3693.0857856413986), np.float64(0.086149), np.float64(0.0), 8800, np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(0.0), np.float64(140.0), np.float64(0.0), 0, 0, 1]",0
